case,path,elapsedMs,value,canonicalValue,unit
baseline,core.powerMw,59000,2710.4468744344367,2710.4468744344367,MW
baseline,core.powerMw,60000,2710.2540065263615,2710.2540065263615,MW
baseline,core.powerMw,61000,2710.071585917122,2710.071585917122,MW
baseline,core.powerMw,62000,2709.8990176779444,2709.8990176779444,MW
baseline,core.powerMw,63000,2709.735744221873,2709.735744221873,MW
baseline,core.powerMw,64000,2709.581242589039,2709.581242589039,MW
baseline,core.powerMw,65000,2709.435021965389,2709.435021965389,MW
baseline,core.powerMw,66000,2709.2966214117464,2709.2966214117464,MW
baseline,core.powerMw,67000,2709.1656077826074,2709.1656077826074,MW
baseline,core.powerMw,68000,2709.041573816256,2709.041573816256,MW
baseline,core.powerMw,69000,2708.9241363797987,2708.9241363797987,MW
baseline,core.powerMw,70000,2708.8129348544326,2708.8129348544326,MW
baseline,core.powerMw,71000,2708.707629647833,2708.707629647833,MW
baseline,core.powerMw,72000,2708.6079008219067,2708.6079008219067,MW
baseline,core.powerMw,73000,2708.513446825388,2708.513446825388,MW
baseline,core.powerMw,74000,2708.4239833218335,2708.4239833218335,MW
baseline,core.powerMw,75000,2708.3392421045473,2708.3392421045473,MW
baseline,core.powerMw,76000,2708.25897009081,2708.25897009081,MW
baseline,core.powerMw,77000,2708.1829283885663,2708.1829283885663,MW
baseline,core.powerMw,78000,2708.1108914293945,2708.1108914293945,MW
baseline,core.powerMw,79000,2708.0426461621905,2708.0426461621905,MW
baseline,core.powerMw,80000,2707.9779913025513,2707.9779913025513,MW
baseline,core.powerMw,81000,2707.916736633305,2707.916736633305,MW
baseline,core.powerMw,82000,2707.8587023520827,2707.8587023520827,MW
baseline,core.powerMw,83000,2707.8037184622126,2707.8037184622126,MW
baseline,core.powerMw,84000,2707.7516242035513,2707.7516242035513,MW
baseline,core.powerMw,85000,2707.702267520192,2707.702267520192,MW
baseline,core.powerMw,86000,2707.6555045622476,2707.6555045622476,MW
baseline,core.powerMw,87000,2707.6111992191786,2707.6111992191786,MW
baseline,core.powerMw,88000,2707.5692226823417,2707.5692226823417,MW
baseline,core.powerMw,89000,2707.529453034642,2707.529453034642,MW
baseline,core.powerMw,90000,2707.491774865355,2707.491774865355,MW
baseline,core.powerMw,91000,2707.4560789083494,2707.4560789083494,MW
baseline,core.powerMw,92000,2707.4222617020764,2707.4222617020764,MW
baseline,core.powerMw,93000,2707.3902252698463,2707.3902252698463,MW
baseline,core.powerMw,94000,2707.3598768190113,2707.3598768190113,MW
baseline,core.powerMw,95000,2707.331128457802,2707.331128457802,MW
baseline,core.powerMw,96000,2707.303896928641,2707.303896928641,MW
baseline,core.powerMw,97000,2707.27810335688,2707.27810335688,MW
baseline,core.powerMw,98000,2707.2536730139486,2707.2536730139486,MW
baseline,core.powerMw,99000,2707.230535094013,2707.230535094013,MW
baseline,core.powerMw,100000,2707.208622503287,2707.208622503287,MW
baseline,core.powerMw,101000,2707.187871661213,2707.187871661213,MW
baseline,core.powerMw,102000,2707.1682223127764,2707.1682223127764,MW
baseline,core.powerMw,103000,2707.1496173512805,2707.1496173512805,MW
baseline,core.powerMw,104000,2707.132002650948,2707.132002650948,MW
baseline,core.powerMw,105000,2707.1153269087536,2707.1153269087536,MW
baseline,core.powerMw,106000,2707.099541494957,2707.099541494957,MW
baseline,core.powerMw,107000,2707.0846003118054,2707.0846003118054,MW
baseline,core.powerMw,108000,2707.070459659939,2707.070459659939,MW
baseline,core.powerMw,109000,2707.0570781120514,2707.0570781120514,MW
baseline,core.powerMw,110000,2707.0444163933867,2707.0444163933867,MW
baseline,core.powerMw,111000,2707.03243726868,2707.03243726868,MW
baseline,core.powerMw,112000,2707.021105435181,2707.021105435181,MW
baseline,core.powerMw,113000,2707.0103874214124,2707.0103874214124,MW
baseline,core.powerMw,114000,2707.00025149134,2707.00025149134,MW
baseline,core.powerMw,115000,2706.9906675536604,2706.9906675536604,MW
baseline,core.powerMw,116000,2706.9816070759125,2706.9816070759125,MW
baseline,core.powerMw,117000,2706.9730430031495,2706.9730430031495,MW
baseline,core.powerMw,118000,2706.964949680924,2706.964949680924,MW
baseline,core.powerMw,119000,2706.957302782345,2706.957302782345,MW
baseline,core.powerMw,120000,2706.950079238989,2706.950079238989,MW
baseline,core.powerMw,121000,2706.9432571754464,2706.9432571754464,MW
baseline,core.powerMw,122000,2706.9368158473203,2706.9368158473203,MW
baseline,core.powerMw,123000,2706.930735582479,2706.930735582479,MW
baseline,core.powerMw,124000,2706.924997725394,2706.924997725394,MW
baseline,core.powerMw,125000,2706.9195845843947,2706.9195845843947,MW
baseline,core.powerMw,126000,2706.914479381683,2706.914479381683,MW
baseline,core.powerMw,127000,2706.9096662059665,2706.9096662059665,MW
baseline,core.powerMw,128000,2706.9051299675607,2706.9051299675607,MW
baseline,core.powerMw,129000,2706.9008563558377,2706.9008563558377,MW
baseline,core.powerMw,130000,2706.8968317988924,2706.8968317988924,MW
baseline,core.powerMw,131000,2706.8930434253125,2706.8930434253125,MW
baseline,core.powerMw,132000,2706.8894790279355,2706.8894790279355,MW
baseline,core.powerMw,133000,2706.8861270294933,2706.8861270294933,MW
baseline,core.powerMw,134000,2706.8829764500424,2706.8829764500424,MW
baseline,core.powerMw,135000,2706.8800168760854,2706.8800168760854,MW
baseline,core.powerMw,136000,2706.8772384312983,2706.8772384312983,MW
baseline,core.powerMw,137000,2706.874631748771,2706.874631748771,MW
baseline,core.powerMw,138000,2706.8721879446985,2706.8721879446985,MW
baseline,core.powerMw,139000,2706.869898593424,2706.869898593424,MW
baseline,core.powerMw,140000,2706.867755703781,2706.867755703781,MW
baseline,core.powerMw,141000,2706.8657516966646,2706.8657516966646,MW
baseline,core.powerMw,142000,2706.8638793837563,2706.8638793837563,MW
baseline,core.powerMw,143000,2706.8621319473546,2706.8621319473546,MW
baseline,core.powerMw,144000,2706.860502921251,2706.860502921251,MW
baseline,core.powerMw,145000,2706.8589861725886,2706.8589861725886,MW
baseline,core.powerMw,146000,2706.8575758846664,2706.8575758846664,MW
baseline,core.powerMw,147000,2706.85626654063,2706.85626654063,MW
baseline,core.powerMw,148000,2706.8550529079994,2706.8550529079994,MW
baseline,core.powerMw,149000,2706.8539300240077,2706.8539300240077,MW
