systemId,seconds,corePowerMw,sgALevelPercent,turbineElectricMw
unit-3,80,2707.98,80.03,789.54
unit-3,85,2707.70,81.42,789.54
unit-3,90,2707.49,82.82,789.54
unit-3,95,2707.33,84.21,789.54
unit-3,100,2707.21,85.61,789.54
unit-3,105,2707.12,87.01,789.54
unit-3,110,2707.04,88.41,789.54
unit-3,115,2706.99,89.82,789.54
unit-3,120,2706.95,91.23,789.54
unit-3,125,2706.92,92.64,789.54
unit-3,130,2706.90,94.06,789.54
unit-3,135,2706.88,95.48,789.54
unit-3,140,2706.87,96.90,786.63
unit-3,145,2706.86,98.31,761.61
unit-3,150,2706.85,99.71,729.56
unit-3,155,2706.85,100.00,700.05
unit-3,160,2706.85,100.00,675.82
unit-3,165,2706.85,100.00,656.80
unit-3,170,2706.84,100.00,642.16
unit-3,175,2706.85,100.00,630.99
unit-3,180,2706.85,100.00,622.51
unit-3,185,2706.85,100.00,616.08
unit-3,190,2706.85,100.00,611.21
unit-3,195,2706.85,100.00,607.53
unit-3,200,2706.85,100.00,604.74
unit-3,205,2706.85,100.00,602.63
unit-3,210,2706.86,100.00,601.03
unit-3,215,2706.86,100.00,599.82
unit-3,220,2706.86,100.00,598.91
unit-3,225,2706.86,100.00,598.22
unit-3,230,2706.87,100.00,597.69
unit-3,235,2706.87,100.00,597.30
unit-3,240,2706.87,100.00,597.00
unit-3,245,2706.87,100.00,596.77
unit-3,250,2706.88,100.00,596.60
unit-3,255,2706.88,100.00,596.47
unit-3,260,2706.88,100.00,596.37
unit-3,265,2706.88,100.00,596.29
unit-3,270,2706.89,100.00,596.24
unit-3,275,2706.89,100.00,596.20
unit-3,280,2706.89,100.00,596.16
unit-3,285,2706.89,100.00,596.14
unit-3,290,2706.90,100.00,596.12
unit-3,295,2706.90,100.00,596.11
unit-3,300,2706.90,100.00,596.10
unit-4,0,2890.00,55.00,935.00
unit-4,5,2825.02,57.53,731.90
unit-4,10,2784.29,59.53,718.33
unit-4,15,2759.33,61.22,754.99
unit-4,20,2743.44,62.80,777.27
unit-4,25,2732.98,64.33,785.27
unit-4,30,2725.85,65.82,788.11
unit-4,35,2720.87,67.29,789.10
unit-4,40,2717.30,68.73,789.43
unit-4,45,2714.70,70.17,789.53
unit-4,50,2712.77,71.60,789.55
unit-4,55,2711.34,73.02,789.55
unit-4,60,2710.25,74.43,789.55
unit-4,65,2709.44,75.83,789.55
unit-4,70,2708.81,77.23,789.54
unit-4,75,2708.34,78.63,789.54
unit-4,80,2707.98,80.03,789.54
unit-4,85,2707.70,81.42,789.54
unit-4,90,2707.49,82.82,789.54
unit-4,95,2707.33,84.21,789.54
unit-4,100,2707.21,85.61,789.54
unit-4,105,2707.12,87.01,789.54
unit-4,110,2707.04,88.41,789.54
unit-4,115,2706.99,89.82,789.54
unit-4,120,2706.95,91.23,789.54
unit-4,125,2706.92,92.64,789.54
unit-4,130,2706.90,94.06,789.54
unit-4,135,2706.88,95.48,789.54
unit-4,140,2706.87,96.90,789.54
unit-4,145,2706.86,98.32,789.54
unit-4,150,2706.85,99.74,789.54
unit-4,155,2706.85,100.00,789.54
unit-4,160,2706.85,100.00,789.54
unit-4,165,2706.85,100.00,789.54
unit-4,170,2706.84,100.00,789.54
unit-4,175,2706.85,100.00,789.54
unit-4,180,2706.85,100.00,789.54
unit-4,185,2706.85,100.00,789.54
unit-4,190,2706.85,100.00,789.54
unit-4,195,2706.85,98.68,789.54
unit-4,200,2706.85,96.86,789.54
unit-4,205,2706.85,94.96,789.54
unit-4,210,2706.86,93.02,789.54
unit-4,215,2706.86,91.06,789.54
unit-4,220,2706.86,89.10,789.54
unit-4,225,2706.86,87.13,789.54
unit-4,230,2706.87,85.16,789.54
unit-4,235,2706.87,83.19,789.54
unit-4,240,2706.87,81.22,789.54
unit-4,245,2706.87,79.24,789.54
unit-4,250,2706.88,77.27,789.54
unit-4,255,2706.88,75.30,789.54
unit-4,260,2706.88,73.33,789.54
unit-4,265,2706.88,71.36,789.54
unit-4,270,2706.89,69.39,789.54
unit-4,275,2706.89,67.41,789.54
unit-4,280,2706.89,65.44,789.54
